ན་སིད་དྷི་,ན་སིད་དྷི་
བདུད་གྱི་,བདུད་ཀྱི་
དྲན་,ལ་
ལ་སྤྱོར་,ལ་སྦྱོར་
ཏྲ་དང༌།,ཏྲ་དང་།
ཉིད་དངོསབོ་,ཉིད་དངོས་པོ་
བི་དྷཱ་,བི་དྷཱ་
བཛྲ་རཀྵ་,བཛྲ་རཀྵ་
དུ་པཱུརྞ་,དུ་པཱུརྞ་
ཤེས་ཀོོ་,ཤེས་ཀཽ་
ཆུང་ཟ་་ཞིང་,ཆུང་ཟ་ཞིང་
དག །བྷ་,དག །བྷ་
མདྷཱཿདང་,མངྔྷཱཿདང་
བཛྲ་ཧཱུྃ་,བཛྲ་ཧཱུྃ་
བྱཱ་དྷི་,བྱཱ་དྷི་
རྟི་མཱུ་,རྟི་མཱུ་
ཨོཾ་ཨཱཿ་བཛྲ་,ཨོཾ་ཨཱཿབཛྲ་
དཔའ་དང༌།,དཔའ་དང་།
གྱུར་པའི་,གྱུར་པས་
སྡུག་བསྔལ་གྱི་,སྡུག་བསྔལ་ཀྱི་
ྒྱས་,་
སིནྡྷུའི་,སིནྡྷུའི་
ྉྤ,ྎྤ
དུ་གང༌།,དུ་གང་།
་ཞེས་,། ཞེས་
ཥཊ་ཧེ་རཧེ་,ཥཊ་ཧེ་ཧེ་
ར་,ྷ་ག་
ངྷུ་མ་དྷུ་,ངྷུ་མ་དྷུ་
ཆུབ་སེམས་དཔའ་ཀྱི་,ཆུབ་སེམས་ཀྱི་
ཧཾ་ཧཱུྃ།,ཧཾ་ཧཱུྃ།
་མོ་ཀྵུ་,་མོ་ཀྵུ་
ཡ་བནྡྷནཱ་,ཡ་བནྡྷནཱ་
་དྲཱཾུ,་དྲཱུ
དང་སྤྲང་,དང་སྦྲང་
གྱུ,དབུ
བརྒྱ་སྟོང་་,བརྒྱ་སྟོང་
ཐོབ་,ཐོ་
བུཾ་ཨཿབྷཻ་,བུཾ་ཨཿབྷཻ་
རྒྱ་མཚོའིའི་,རྒྱ་མཚོའི་
ཧེ་བིདྱཱ་ཪཱ་,ཧེ་བིདྱཱ་རཱ་
པ་ཧཱུྃ་,པ་ཧཱུྃ་
ཤིི་,ཤི་
ཏྱདྡྷུ་,ཏྱདྡྷུ་
ཀྵ།,ཀྵ།
ཏུ་རྟོག་།,ཏུ་རྟོག
མ་དྷ་,མ་དྷ་
རྒྱས་ཀྱི་བར་དུ་,ལ་
པྲ་ཎི་དྷི་,པྲ་ཎི་དྷི་
དྷན་,དྷན་
ལྡན་པའི་,ལྡན་པས་
ད་ཨརྒྷཾ།,ད་ཨརྒྷཾ།
ུ་སྟམྦྷ་,ུ་སྟམྦྷ་
ཐུབ་པ་་ལ་,ཐུབ་པ་ལ་
ཪངས་,རངས་
གཏོང༌།,གཏོང་།
རྫོགས་པའི་,རྫོགས་པས་
ལ་ཁཱུ་,ལ་ཁཱུ་
བཅུག་སྟེ་།,བཅུག་སྟེ།
དམིགས་པའིི་,དམིགས་པའི་
བ་བྷི་,བ་བྷི་
འབྲེལ་དང༌།,འབྲེལ་དང་།
གི་,རྩི་
ན་སཱུ་,ན་སཱུ་
སྭཱ་ཧཱ་ༀ་,སྭཱ་ཧཱ་ཨོཾ་
ཞེ་སྡག་,ཞེ་སྡང་
ཐྱན་ཀྱི་ན།,ཐྱན་ཀྱིན།
ཤྲཱི་གརྦྷ་,ཤྲཱི་གརྦྷ་
།བྷཱུ་,།བྷཱུ་
ཨཱརྱ་དྷརྨ་,ཨཱརྱ་དྷརྨ་
ག་སྟམ་བྷ་,ག་སྟམ་བྷ་
་རཀྵཱ་,་རཀྵཱ་
མཚན་དང༌།,མཚན་དང་།
ཧ་མ་དྷི་,ཧ་མ་དྷི་
བདུག་པས་ཆིམ།,བདུག་པས་ཚིམ།
ཡུན་ར,།ར
ཡིད་འགྱོད་་,ཡིད་འགྱོད་
ེད་,ད་
རིའི་བུ༌གང་,རིའི་བུ་གང་
གྱུར་ནས་བྷ་,གྱུར་ནས་བྷ་
པ་ར་་ལྟར་,པ་ར་ལྟར་
བི་ས་བྷ་,བི་ས་བྷ་
ང་,ད་
པ་དེར་་རྒྱལ་,པ་དེར་རྒྱལ་
བཻ་ཌཱུ་རྱ་,བཻ་ཌཱུརྱ་
གངྒཱའི་ཀླུག་,གངྒཱའི་ཀླུང་
གེ་རྀུ།,གེ་རཱྀ།
ཡཀྵ།,ཡཀྵ།
གྲཱིཧྞ་ཧཱུྃ་,གྲཱིཧྞ་ཧཱུྃ་
ས་བཏབ་ས,ས་བསྐུས
།འཇམ,།རོལ་མ
ཨརྛ་སཱ་དྷ་,ཨརྛ་སཱ་དྷ་
ཏི་མོ་ཀྵ་,ཏི་མོ་ཀྵ་
གས་,ད་
་ཧཱུཾ།,་ཧཱུཾ།
བཏིང་ངོ༌།,བཏིང་ངོ་།
རྗེ་འཛིན་།,རྗེ་འཛིན།
ཚོང་དང༌།,ཚོང་དང་།
དག་བཻ་བྷི་,དག་བཻ་བྷི་
མ་བ་བྷུ་,མ་བ་བྷུ་
་མཿཧཱུྃ་,་མཿཧཱུྃ་
ཡཱ་པཱུརྦེ།,ཡཱ་པཱུརྦེ།
ར་སོ་དྷཱ་,ར་སོ་དྷཱ་
མྲཱཔྲ་,པྲ་
་ཡ་བྷ་,་ཡ་བྷ་
སྟོན་ཅིང༌བདུད་,སྟོན་ཅིང་བདུད་
མན་དྷཱ་,མན་དྷཱ་
སརྦ་དྷརྨཱཿཔྲ་,སརྦ་དྷརྨཱཿཔྲ་
ཞུམ་ཞིང༌།,ཞུམ་ཞིང་།
བཤིག་ཅིང༌སྒྲའི་,བཤིག་ཅིང་སྒྲའི་
པར་འགྱུུར།,པར་འགྱུར།
ཨོཾ་ཨཱཿ་དྭེ་,ཨོཾ་ཨཱཿདྭེ་
པྲ་བྷཉྫ་,པྲ་བྷཉྫ་
རྨྨ་ཤྲཱི་བྷ་,རྨྨ་ཤྲཱི་བྷ་
ན་ཁ་གྷ།,ན་ཁ་གྷ།
་བནྡྷ་,་བནྡྷ་
གསུངས་པ།་དབུས་,གསུངས་པ། དབུས་
རཀྵ།,རཀྵ།
དང་དབོ་བནི་,དང་དབོ་ནི་
དྷྃ་,དྷྃ་
ཤེ་ཧཱུྃ་,ཤེ་ཧཱུྃ་
ཡཙྪ་ཧྲཱི༔ཛ,ཡཙྪ་ཧྲཱིཿཛ
།།༅༅།,།།༄༅།
ནི་སིད་དྷ་,ནི་སིད་དྷ་
།བྷངྒ་,།བྷངྒ་
ཅད་དུ་(འདོང་,ཅད་དུ་འདོང་
སྨོས་ཤིང༌།,སྨོས་ཤིང་།
པོ་ལེག་,པོ་ལག་
སྠི་ནི་བྷྱོ་,སྠི་ནི་བྷྱོ་
།བྷཱི་,།བྷཱི་
སཱུརྻ་,སཱུརྱ་
ཉིད་ཛམྦྷ་,ཉིད་ཛམྦྷ་
སྲུྃ་ཧཱུྃ་,སྲུྃ་ཧཱུྃ་
བོ་ཉིད་,མེད་
བཱ་ཧྱཱ་བྷྱན་,བཱ་ཧྱཱ་བྷྱན་
ཀམ་མོ་ཀྵ་,ཀམ་མོ་ཀྵ་
ཙྪིནྡྷ་,ཙྪིནྡྷ་
ནི་ཐི་བྷི་,ནི་ཐི་བྷི་
་མུཿ་ཧ་,་མུཿཧ་
བིདྱཱ་དྷ་,བིདྱཱ་དྷ་
པར་གནོན་,པར་གནན་
བཛྲ་ཀྲོ་དྷི་,བཛྲ་ཀྲོ་དྷི་
སྲུ་ཧྲཱི༔ཆེ་,སྲུ་ཧྲཱིཿཆེ་
ར་སོོཎྜ་,ར་སཽཎྜ་
ཀྵཾ་,ཀྵཾ་
ནི་ཧྐྵྃམླ,ནི་ཧྐྵྨླ
པོས་སྟོང༌།,པོས་སྟོང་།
གྱུ,ཁུ
ྱུརྱ་,ཱུརྱ་
ཧཱ་ནིར་བྷཱ་,ཧཱ་ནིར་བྷཱ་
བ་རྡོས་)པ་,བ་རྡོས་པ་
དགེ་བའིི་,དགེ་བའི་
སྐུ་བཀྲུས་་ཤིང་,སྐུ་བཀྲུས་ཤིང་
པར་གྱུརོ་,པར་གྱུར་
(ྉྤ,ྉྤ
ནཱ་ག་དྷ་,ནཱ་ག་དྷ་
པར་ཨུངྒྷ་,པར་ཨུངྒྷ་
དེ་སེམསེ་,དེ་སེམས་
དེ་ལ་གྷ་,དེ་ལ་གྷ་
ཨ་བ་(ངྷྜ)ཏཱི་,ཨ་བ་དྷཱུ་ཏཱི་
ཨོཾ་སྭ་བྷཱ་,ཨོཾ་སྭ་བྷཱ་
ཅད་གྱི་་གནས་,ཅད་གྱི་གནས་
ཤ་ཏཱིུ་,ཤ་ཏཱུཾ་
མེད་ཅིང༌དངོས་,མེད་ཅིང་དངོས་
ཤྩ་པ་ཀྵཾ་,ཤྩ་པ་ཀྵཾ་
དེ་ཐོས་་ལས་,དེ་ཐོས་ལས་
སོང་ཞིང༌།,སོང་ཞིང་།
ཆེ་བེེཌཱུ,ཆེ་བཻཌཱུ
ལ་གན་དྷ་,ལ་གན་དྷ་
ཡ་མཚན་ཅ,ཡ་མཚན་
ཐཱ་རཱུ་,ཐཱ་རཱུ་
བ་དེ་གཞིན་,བ་དེ་བཞིན་
ཕ་ༀ་,ཕ་ཨོཾ་
ཏི་མོཀྵ་,ཏི་མོཀྵ་
བཟེད་དང༌།,བཟེད་དང་།
སྡེ་ཨཱཾཿབཞུགས་,སྡེ་ཨཱཾཿ་ཞུགས་
པ་དང༌རྩོད་,པ་དང་རྩོད་
ས་ག་བྷ་,ས་ག་བྷ་
རྗེ་སུམྦྷ་,རྗེ་སུམྦྷ་
དང་པཱཛྙཱ་,དང་པྲཛྙཱ་
གནོན་ཅིང༌།,གནོན་ཅིང་།
ཊ་ཧཱུྃ་,ཊ་ཧཱུྃ་
མེ་བཛྲ་དྷ་,མེ་བཛྲ་དྷ་
འདི་ནི་(གསོབ་,འདི་ནི་གསོབ་
ཏེ་ཛོད་བྷ་,ཏེ་ཛོད་བྷ་
ཧཱི་ཧཱུ།,ཧཱི་ཧཱུ།
གྱུར་པའི་ༀ་,གྱུར་པའི་ཨོཾ་
དང་མ་ི,དང་མི
ཏཱ་ཏྲ་བྷཉྫ་,ཏཱ་ཏྲ་བྷཉྫ་
སེ་ན་ཀྵི་,སེ་ན་ཀྵི་
ལྟར་གཤེགས་དྷིང་,ལྟར་གཤེགས་དྷིང་
དར་དབྱངས,དར་དཔྱངས
ཇི་སྙིད་,ཇི་སྙེད་
་སཱ་ཀྵ།,་སཱ་ཀྵ།
ཎི་སཱུ་,ཎི་སཱུ་
པྲཱ་ཎི་བྷྱཿ སེ་,པྲཱ་ཎི་བྷྱཿ སེ་
སློང་གང༌ཟས་,སློང་གང་ཟས་
ད་དྷི་,ད་དྷི་
དག་ལ་(རྨས་,དག་ལ་རྨས་
པ་དང༌ངག་,པ་དང་ངག་
ག་གཱ་གྷ་,ག་གཱ་གྷ་
་ད་,ད་
ནུ་རོཾ་དྷེ།,ནུ་རོཾ་དྷེ།
རེ་མོཀྵ་,རེ་མོཀྵ་
ཛཱམ་བཱུ་,ཛཱམ་བཱུ་
སཏྭ་ཛཿཧཱུྃ་,སཏྭ་ཛཿཧཱུྃ་
རང་གི༌་,རང་གི་
གྷཱུང་,གྷཱུང་
སྤྱན་སྔཪ་,སྤྱན་སྔར་
མེེ་,མཻ་
ཧཱ་མེ་གྷ་,ཧཱ་མེ་གྷ་
ཤ་སྟག་(ན།,ཤ་སྟག་ན།
ཧུ་ཀྵ་,ཧུ་ཀྵ་
བ་ཏི་དྷརྨྨ་,བ་ཏི་དྷརྨྨ་
པྲ་ཏི་ཥྛི་,པྲ་ཏིཥྛི་
ཆ་དང༌།,ཆ་དང་།
མོ་རམ་བྷ་,མོ་རམ་བྷ་
པ་ལྺརྻ,པ་ལྺྼྻ
སྟེགས་དང༌།,སྟེགས་དང་།
དུ་ྈྐྈྐཱཿྈྐ,དུ་ྈྐྍྐཱཿྈྐ
བདག་པོའོ། །,བདག་པོའོ། །
།བཤགས་,བཤགས་
ཚཱ་ཛཱ་ཛྷཱ་,ཚཱ་ཛཱ་ཛྷཱ་
སོགས་ཏ་ེ,སོགས་ཏེ
ཏ་མཱུ་,ཏ་མཱུ་
པྲ་ཏི་ཥྛ,པྲ་ཏིཥྛ
ཡིད་གཉེས་,ཡིད་གཉིས་
ཡུད་དྷ་,ཡུད་དྷ་
པ་འམཔ་འམ།,པ་འམ།
མགོ་དང༌།,མགོ་དང་།
ཏཱ་སྭ་བྷཱ་,ཏཱ་སྭ་བྷཱ་
མ་གོས་)པས་,མ་གོས་པས་
དྲུག་དང་ཪོ་,དྲུག་དང་རོ་
སནྡྷཻ་ན་ཀྵུ་,སནྡྷཻ་ན་ཀྵུ་
ཐོ་བ་ཙམ་,ཐོ་བཙམ་
ན་མཿསུ་,ནམཿསུ་
གྲྀྀཧྞ་,གྲྀཧྞ་
དས་,ི་
ིས་གཙེ,ེ
ངེས་པར་་རྟོག་,ངེས་པར་རྟོག་
ན་ཏེེ།,ན་ཏེ།
ཏུ་,པ་
ལེབ་དང༌།,ལེབ་དང་།
ཤོ་དྷ་,ཤོ་དྷ་
བཛྲོདྦྷ་,བཛྲོདྦྷ་
པོ་གང་་བླ་,པོ་གང་བླ་
ནུ་ཙཱརྻ།,ནུ་ཙཱཪྻ།
ཡུལ་དང༌།,ཡུལ་དང་།
ག་ཏེ་བྷྱཿ སརྦྦ་,ག་ཏེ་བྷྱཿ སརྦྦ་
གསལ་བཻཌཱུརྱ་,གསལ་བཻཌཱུརྱ་
མི་དྲང༌།,མི་དྲང་།
བཾ་ཧཱུྃ་,བཾ་ཧཱུྃ་
བ་དང༌དེས་,བ་དང་དེས་
མ་ནི་བྷ་,མ་ནི་བྷ་
སརྦ་བུདྡྷ་,སརྦ་བུདྡྷ་
ལྡན་འདས་(འོ་,ལྡན་འདས་འོ་
དགའ་བར་་གྱུར,དགའ་བར་གྱུར
འདབ་མརོ་,འདབ་མར་
ཎི་སྭ་ཱ་,ཎི་སྭཱ་
སྔོན་ཨཱཿཧཱུྃ་,སྔོན་ཨཱཿཧཱུྃ་
རྻ་,ཪྻ་
རྨ་སིད་དྷི།,རྨ་སིད་དྷི།
པདྨ་སུ་བྷ་,པདྨ་སུ་བྷ་
ཀྱིས་ཀྱང༌ཚེ་,ཀྱིས་ཀྱང་ཚེ་
ཀྱེེ་,ཀྱཻ་
འདས་ལ༌ཚེ་,འདས་ལ་ཚེ་
བི་དྷོ་,བི་དྷོ་
རས་ཀྱང་་གོས་,རས་ཀྱང་གོས་
ཡ་བི་དྷྭཾ་,ཡ་བི་དྷྭཾ་
་བ་ཀྵ།,་བ་ཀྵ།
བཅྭོ་བརྒྱདའ་,བཅྭོ་བརྒྱད་
རྣམས་བྱུུང་,རྣམས་བྱུང་
ཧྲཱིཾ་,ཧྲཱིྃ་
ཧཱ་ཡཀྵ་,ཧཱ་ཡཀྵ་
ནཱི་སཱུ་,ནཱི་སཱུ་
གྱིས་མིག་྄བསྐུས་,གྱིས་མིག་བསྐུས་
ཊི་རཀྵ་,ཊི་རཀྵ་
བཞོན་དང༌།,བཞོན་དང་།
པོ་ཕུལ་ཨོྃབ།,པོ་ཕུལ་བ།
ལ་དཀུག་,ལ་དགུག་
་ཞུགས་,ཞུགས་
གི་དྲི་་ལགས་,གི་དྲི་ལགས་
མཱཾ་ཧཱུཾ་,མཱཾ་ཧཱུཾ་
ཐུན་མོད་,ཐུན་མོང་
ཐམས་དང༌།,ཐམས་དང་།
སུམྦྷ་,སུམྦྷ་
འཇོག་དང༌།,འཇོག་དང་།
ཧཱ་བུདྷཱ་,ཧཱ་བུདྷཱ་
པར་དག་བ་,པར་དག་པ་
ཆ་སྨད་གྱི་,ཆ་སྨད་ཀྱི་
་ཛཿཧཱུྃ་,་ཛཿཧཱུྃ་
ལག་ཐམས་ཅ,ལག་ཐམས་
བྱེད་ཅིང༌ཕྲིན་,བྱེད་ཅིང་ཕྲིན་
སྲ་ཀཱ་ཀྵ་,སྲ་ཀཱ་ཀྵ་
་དང་ལྡན་ནོ།,་དོ།
ཀཀྵྱ་,ཀཀྵྱ་
ཀྱང་བེེ་,ཀྱང་བཻ་
སུ་དྷེ།,སུ་དྷེ།
བཻ་ཌཱུརྱ,བཻ་ཌཱུརྱ
ཥ་ཏྭཱྃ་དྷཱ་,ཥ་ཏྭཱྃ་དྷཱ་
ཀྱི་མཚམས་གྱི་,ཀྱི་མཚམས་ཀྱི་
ྻ་,ྱ་
ནས་ཕྱུང༌།,ནས་ཕྱུང་།
ན་ཛི་ཀ མཉྫུ་,ན་ཛིཀ མཉྫུ་
གཤེགས,བས
རིལ་བ་བྷྲིང་,རིལ་བ་བྷྲིང་
ཨཱུ།,ཨཱུ།
བཀྵེ།,བཀྵེ།
ཡང་ལྔ་།,ཡང་ལྔ།
པ་ཡང་་,པ་ཡང་
མ་ནོད་བྷ་,མ་ནོད་བྷ་
སྨན་ཛམ་བྷི་,སྨན་ཛམ་བྷི་
ར་ཛ་དྷརྨྨ་,ར་ཛ་དྷརྨྨ་
ྱུང་,རྟན་
བྱེད་ཅིང༌གཉི་,བྱེད་ཅིང་གཉི་
སྒོ་དང༌།,སྒོ་དང་།
སིད་དྷྱ་,སིད་དྷྱ་
ཱུ,ྰུ
ཚེ་ན་ད,ཚེ་ནད
གཉིས་དང༌།,གཉིས་དང་།
ཨོཾ་སྭཱ་,ཨོཾ་སྭ་
ཏོག་གང་ཏུ་,ཏོག་གང་དུ་
སྦྱིན་དང༌།,སྦྱིན་དང་།
ཀྵིཾ་,ཀྵིཾ་
དུ་བེེ་,དུ་བཻ་
བདུན་འཐུྱས་,བདུན་འཐུངས་
པ་མཱུར་,པ་མཱུར་
བྦ་བནྡྷ་,བྦ་བནྡྷ་
བསྒོམས་དང༌།,བསྒོམས་དང་།
བཞིན་དུྈྐྈྐཱཿ ྈྐ,བཞིན་དུྈྐྍྐཱཿ ྈྐ
།ཪོལ་,།རོལ་
སྡེ་དང༌།,སྡེ་དང་།
རྒྱས་དང༌།,རྒྱས་དང་།
བཻ་ཌཱུརྱ་,བཻ་ཌཱུརྱ་
བེེཌཱུརྱལ་,བཻཌཱུརྱལ་
ཡི་གེ་ༀ་,ཡི་གེ་ཨོཾ་
གྱི་་དམ་,གྱི་དམ་
ར་བྷུ་,ར་བྷུ་
རྒྱལ་མཆོག་དྷུན་,རྒྱལ་མཆོག་དྷུན་
སརྦ་ཀྵ་,སརྦ་ཀྵ་
ཪབ་,རབ་
སྙོམས་དང༌དྲན་,སྙོམས་དང་དྲན་
ར་མཱརྠ་དྷ་,ར་མཱརྠ་དྷ་
བཞུགས་སོ།།,བཞུགས་སོ།
བ་ཨ་བྷི་,བ་ཨ་བྷི་
།(ཨྃ,།ཨྃ
་བོ་དྷི་,་བོ་དྷི་
བཻ་ཌཱུརྻ་,བཻ་ཌཱུརྱ་
བྱ་དང༌།,བྱ་དང་།
མོ་དེས་(ཤོག་གྲངས་033-034གཉིས་ཨ་མ་དམར་པོ་དེ་ཚང་གི་མི་འདུག)ཡུན་,མོ་དེས་ཡུན་
ཏེ་ཉིིན་,ཏེ་ཉིན་
བྷ་ཀ་བྷ།,བྷ་ཀ་བྷ།
ཱུྃ།,ཱུྃ།
ནི་ག་སལ་,ནི་གསལ་
ཏེ་མདོན་,ཏེ་མངོན་
དི་བུདྡྷ་,དི་བུདྡྷ་
གློ་་སྙིང་,གློ་སྙིང་
ཆུབ་སེམས་་དཔའ་,ཆུབ་སེམས་དཔའ་
ཨུ་ཤོ་དྷ་,ཨུ་ཤོ་དྷ་
ཀ་བེེ་,ཀ་བཻ་
ཕེཾ་ཕེེཾ་,ཕེཾ་ཕེཾ་
པ་དང༌གནས་,པ་དང་གནས་
ཤིང་དམིཌ་,ཤིང་དམིགས་
བཏ་སཱུརྱ་,བཏ་སཱུརྱ་
པ་རྣམ་བའི་,པ་རྣམ་པའི་
དྲ་བོ་དྷིའི་,དྲ་བོ་དྷིའི་
་མུཿཧཱུྃཿཛཿབཾ་,་མུཿཧཱུྃཿཛཿབཾ་
སྔགས་གྱི་,སྔགས་ཀྱི་
ཤ་བུདྡྷི།,ཤ་བུདྡྷི།
མ་ཧེ་དྷུ་,མ་ཧེ་དྷུ་
བ་རཾབྷ་,བ་རབྷ་
འཔིགས་,འབིགས་
ལ་གར་བྷ་,ལ་གར་བྷ་
ཨཱུྃ།,ཨཱུྃ།
ཨཱཿ་འདོད་,ཨཱཿ འདོད་
བི་ཛྲྀམ་བྷནྟེ།,བི་ཛྲྀམ་བྷནྟེ།
ཤྭེ་སཾ་བྷཱ་,ཤྭེ་སཾ་བྷཱ་
ལཱ་ཡེེ་,ལཱ་ཡཻ་
ཙོ་དང༌།,ཙོ་དང་།
ཟས་གཙང་་ལས་,ཟས་གཙང་ལས་
ངས་,ས་
དུ་ཐོས་,དུ་ཐས་
རུ་ཀུལྤེ་,རུ་ཀུལླི་
དུ་ྉྤྉྤ,དུ་ྉྤྐྤ
སུ་ལུན་དྷའི་,སུ་ལུན་དྷའི་
ཎི་བྃ་བྷྲུྃ།,ཎི་བྃ་བྷྲུྃ།
རུ་དང༌།,རུ་དང་།
སྟོན་ཀྱང༌མི་,སྟོན་ཀྱང་མི་
མི་ཁྱབ་།,མི་ཁྱབ།
བཻེཥྞ་,བཻཥྞ་
ཧྭ་སྱ་དྷརྨྨ་,ཧྭ་སྱ་དྷརྨྨ་
པ་བེེཌཱུརྱའི་,པ་བཻ་ཌཱུརྱའི་
ཧ་ན་གྷཱ་,ཧ་ན་གྷཱ་
ནས་བཻ་བྷི་,ནས་བཻ་བྷི་
ནཱི་ཡ་སཾ ཨོཾ་,ནཱི་ཡ་ཀཾ ཨོཾ་
་དེས་,དེས་
བདེ་བ་ཪང་,བདེ་བ་རང་
སྦྱོང་གོཽ་,སྦྱོང་གཽ་
་ལཱི་བྷུ་,་ལཱི་བྷུ་
རུ་ཀུ་ལླེ་,རུ་ཀུལླེ་
ཀྱིས་བཀའ་་སྩལ་,ཀྱིས་བཀའ་སྩལ་
ན་མཿ་སབ་,ན་མཿསབ་
ནར་ཤ་བྷས་,ནར་ཤ་བྷས་
བ་ཤུདྡྷོ་྅ཧྃ།,བ་ཤུདྡྷོ྅ཧྃ།
་ལྷུམས་,ལྷུམས་
སརྦ་སིད་དྷིམྨེ་,སརྦ་སིད་དྷིམྨེ་
ཥེ་ཀེེཿསརྦ་,ཥེ་ཀཻཿསརྦ་
ཧཱ་བནྡྷ་,ཧཱ་བནྡྷ་
ཡཱ་ཚིམ་བྷོ།,ཡཱ་ཚིམ་བྷོ།
པ་།,པ།
གཙྪ་ཧྲཱི༔ཛཿ ཧཱུྃ་,གཙྪ་ཧྲཱིཿཛཿ ཧཱུྃ་
བའི་ཁ་ཀྱི་,བའི་ཁ་
ཐོས་དང༌།,ཐོས་དང་།
བ་བརྫོད་,བ་བརྗོད་
བྲག་,ཕྲག་
ཧཱུྃ་ཀཱརྻཾ་,ཧཱུྃ་ཀཱརྱཾ་
བྱེད་,བྱད་
ཎྵི་སཱ་,ཎྵི་ཀཱ་
དོན་ཉུང་དུས་,དོན་ཉུང་ངུས་
རུ་དྲཱ་ཀྵ་,རུ་དྲཱ་ཀྵ་
འདོགས་ཤིང༌འདི་,འདོགས་ཤིང་འདི་
འཁོད་ཅིང༌།,འཁོད་ཅིང་།
མཐཪ་,མཐར་
ནུ་སན་དྷི།,ནུ་སན་དྷི།
ཤར་དང༌ཤར་,ཤར་དང་ཤར་
ཏི་ལ་བྷི།,ཏི་ལ་བྷི།
ཨཎྷྱུ་,ཏྷྱུ་
ཤྭ་ར་ཱ,ཤྭ་རཱ
ཉིན་ཞག་དྷྲུ་,ཉིན་ཞག་དྷྲུ་
ལཧཱ་ཀྲོ་དྷ་,ལཧཱ་ཀྲོ་དྷ་
ཧི་ཏཱཀྵ།,ཧི་ཏཱཀྵ།
ན་མཱུརྟི།,ན་མཱུརྟི།
རྗེ་ས་)དང་,རྗེ་ས་དང་
བཛྲ་བྷེེ་,བཛྲ་བྷཻ་
མ་ག་དྷཱ།,མ་ག་དྷཱ།
སྭ་ཡཾ་བྷུ།,སྭ་ཡཾ་བྷུ།
ཱ་ཧཱུྃ་,ཱ་ཧཱུྃ་
ཁྱོ་ཤུགས་,ཁྱོ་ཤུག་
སུ་དང༌།,སུ་དང་།
ཱ་བོ་དྷི་,ཱ་བོ་དྷི་
ལྡན་འདས༌གནས་,ལྡན་འདས་གནས་
བཀའ་སྩལ་བ།པ།,བཀའ་སྩལ་པ།
ཧཱུྃ་ཕཊ།༽བདུད་,ཧཱུྃ་ཕཊ།བདུད་
ལི་མ་གྷོ་,ལི་མ་གྷོ་
བུ་འགྲུག །,བུ་འགྲུབ། །
བརྩོན་པ།་།,བརྩོན་པ།།
སྶྉྤྉྤ་,སྶྉྤྎྤ་
དུམ་དང༌།,དུམ་དང་།
པོ་འཔགས་,པོ་འཕགས་
ཙནྜ་ཨ་བྷི་,ཙནྜ་ཨ་བྷི་
གྲངས་མེད་།ཚད་,གྲངས་མེད་ཚད་
རྒྱས་,ཏ་
གྷཱུརྞ།,གྷཱུརྞ།
དང་གཞུགས་,དང་གཞུག་
ཤུ་པཱུ་,ཤུ་པཱུ་
ཉིས་བརྒྱ་་ལྔ་,ཉིས་བརྒྱ་ལྔ་
ས་,ཟུང་
བུ་མོ་་,བུ་མོ་
ཧ་བོ་དྷི་,ཧ་བོ་དྷི་
ཕོོ།,ཕཽ།
རང་གཞིན་,རང་བཞིན་
ནི་འདིར་ཅཱ་,ནི་འདིར་ཙཱ་
ག་བཱན་དྷརྨ་,ག་བཱན་དྷརྨ་
མ་མ་་དགའ་,མ་མ་དགའ་
བའི་ལམ་་འཕགས་,བའི་ལམ་འཕགས་
ཐམས་ཅད་་འབྲལ།,ཐམས་ཅད་འབྲལ།
རྒྱས་གྱི་,རྒྱས་ཀྱི་
ག་ཎཱ་དྷྱ་,ག་ཎཱ་དྷྱ་
ནི་རོ་དྷ་,ནི་རོ་དྷ་
ཅད་བཻདཱུརྱ་,ཅད་བཻདཱུརྱ་
པཀྵུ,པཀྵུ
ཨོཾ་དྷཱིཿཧྲཱིཿཤྲཱི་,ཨོཾ་དྷཱིཿཧྲཱིཿཤྲཱི་
ཏ་ཙཀྵུར་,ཏ་ཙཀྵུར་
ར་སྃ་བྷུ་,ར་སྃ་བྷུ་
བ་བྷྲིང་,བ་བྷྲིང་
ཀཱ་ལཱི,ཀཱ་ལཱ
།བྷཱ།,།བྷཱ།
མི་འཚོ་,མི་འཚེ་
མ་བྲལ་།,མ་བྲལ།
ནི་ལྗག་,ནི་ལྗང་
ཡ་སྟཾ་བྷ་,ཡ་སྟཾ་བྷ་
ཛ་རཱུ་,ཛ་རཱུ་
ལ་ཤྲད་དྷཱ་,ལ་ཤྲད་དྷཱ་
ཤིན་་གསལ་,ཤིན་གསལ་
པ་དང༌འཇིག་,པ་དང་འཇིག་
ཅིག་ཐང་ཅིག་རྣམས།,ཅིག་ཐང་རྣམས།
ལན་གསུམ་།,ལན་གསུམ།
ཞིག་སྤྲོན་,ཞིག་སྦྲོན་
བཱན་བོ་དྷི་,བཱན་བོ་དྷི་
ཤ་སཱུ་,ཤ་སཱུ་
ཧཱུྃ་བྷཀྵ་,ཧཱུྃ་བྷཀྵ་
དུ་ཆུང་,དུ་ཆུད་
དེ་བཞི,ཞི
ཏུ་མེད་།,ཏུ་མེད།
རྡོ་རྗེའི་༔གསང་,རྡོ་རྗེའི་གསང་
ཅིག་དང༌ཡུན་,ཅིག་དང་ཡུན་
པར་ས,གས
